City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mar del plata,92,AR,1551934445,95,-46.43,-67.52,47.84,12.66
ritchie,0,ZA,1551931200,72,-29.03,24.6,66.2,5.82
hojai,0,IN,1551934446,77,26,92.85,75.25,1.92
bredasdorp,48,ZA,1551933922,72,-34.53,20.04,66.2,5.82
bethel,90,US,1551930960,86,60.79,-161.76,30.2,9.17
saint george,20,GR,1551934413,86,39.45,22.34,52,1.48
castro,75,CL,1551931200,93,-42.48,-73.76,51.8,5.82
ubatuba,48,BR,1551934447,100,-23.43,-45.08,73.18,3.38
mackay,40,CA,1551931200,77,53.65,-115.58,5,9.17
punta arenas,0,CL,1551934398,100,-53.16,-70.91,41,14.99
bay roberts,90,CA,1551934107,85,47.58,-53.28,21.99,16.11
vaini,0,IN,1551931200,41,15.34,74.49,75.2,5.82
liverpool,75,GB,1551934257,75,53.41,-2.98,46.4,17.22
chokurdakh,0,RU,1551934448,53,70.62,147.9,-10.39,4.94
mapiri,44,BO,1551934448,100,-15.31,-68.22,49.96,0.36
east london,20,ZA,1551934243,100,-33.02,27.91,74.57,22.06
cherskiy,20,RU,1551934208,69,68.75,161.3,-5.44,0.58
moindou,0,NC,1551933000,66,-21.69,165.68,86,11.41
kaitangata,92,NZ,1551934378,86,-46.28,169.85,55,7
atar,0,MR,1551934449,40,20.52,-13.05,53.87,8.63
albany,20,US,1551934140,40,42.65,-73.75,14,8.05
cape town,75,ZA,1551934263,77,-33.93,18.42,68,6.93
camacha,40,PT,1551931200,76,33.08,-16.33,57.2,10.29
puerto ayora,0,EC,1551934243,100,-0.74,-90.35,79.34,8.97
rikitea,68,PF,1551934333,100,-23.12,-134.97,79.93,17.02
touros,40,BR,1551931200,94,-5.2,-35.46,77,3.36
inirida,64,CO,1551934450,95,3.87,-67.92,75.02,2.04
bambous virieux,40,MU,1551934444,78,-20.34,57.76,84,3.36
yellowknife,5,CA,1551934377,77,62.45,-114.38,8.01,3.36
truro,40,GB,1551934446,75,50.26,-5.05,46.99,18.34
oktyabrskiy,0,RU,1551933924,66,55.61,37.97,19,4.47
roebourne,0,AU,1551934450,21,-20.77,117.15,104.05,7.4
port alfred,92,ZA,1551934089,83,-33.59,26.89,70,4
butaritari,80,KI,1551934247,100,3.07,172.79,80.87,13.44
hithadhoo,20,MV,1551934451,100,-0.6,73.08,83.12,5.28
roald,48,NO,1551934203,74,62.58,6.12,36,24.16
hermanus,80,ZA,1551934009,91,-34.42,19.24,64.99,1.99
cidreira,8,BR,1551934451,92,-30.17,-50.22,73.76,6.62
saint-philippe,90,CA,1551934419,50,45.36,-73.48,8.6,3.6
dikson,80,RU,1551934262,89,73.51,80.55,3.52,29.21
bluff,44,AU,1551934451,32,-23.58,149.07,95.41,12.21
mwene-ditu,56,CD,1551934452,99,-7.01,23.45,66.56,5.61
howard springs,40,AU,1551934421,55,-12.5,131.05,95,9.17
narsaq,75,GL,1551930600,34,60.91,-46.05,35.6,14.99
taoudenni,0,ML,1551934273,31,22.68,-3.98,47.35,2.59
lagos,20,NG,1551931200,94,6.46,3.39,75.2,4.7
chuy,0,UY,1551934315,92,-33.69,-53.46,73.94,12.44
ambilobe,88,MG,1551934453,100,-13.19,49.05,75.61,4.38
airai,92,TL,1551934251,96,-8.93,125.41,72.59,1.92
adrar,0,DZ,1551931200,19,27.87,-0.29,55.4,4.7
ferrol,0,ES,1551933905,87,43.48,-8.23,50,10.29
mount gambier,8,AU,1551931200,30,-37.83,140.78,69.8,9.17
qaanaaq,68,GL,1551934236,89,77.48,-69.36,-1.71,4.5
khatanga,68,RU,1551934289,77,71.98,102.47,2.08,11.21
fare,48,PF,1551934454,96,-16.7,-151.02,84.79,12.77
laguna,0,MX,1551934454,72,27.52,-110.01,60.71,2.26
hobart,0,AU,1551934275,32,-42.88,147.33,68,17.22
ushuaia,75,AR,1551931200,80,-54.81,-68.31,39.2,20.8
marawi,88,PH,1551933914,71,8,124.29,82.99,5.99
hilo,90,US,1551934212,88,19.71,-155.08,66.2,3.36
pimentel,88,BR,1551934454,97,-3.7,-45.5,71.06,2.37
karratha,0,AU,1551934309,21,-20.74,116.85,104.05,7.4
chillicothe,1,US,1551934205,67,39.33,-82.98,25,7.63
gweta,0,BW,1551934455,66,-20.21,25.26,73.63,11.21
villa carlos paz,0,AR,1551933968,94,-31.42,-64.5,75.99,6.93
busselton,100,AU,1551934370,62,-33.64,115.35,72,2.93
havre-saint-pierre,40,CA,1551931200,59,50.23,-63.6,-0.41,11.41
payette,20,US,1551934304,87,44.08,-116.93,46.99,4.94
jamestown,0,AU,1551934342,42,-33.21,138.6,71.11,8.86
tommot,76,RU,1551934455,63,58.97,126.27,24.89,6.17
kapaa,1,US,1551934104,60,22.08,-159.32,75.2,21.92
iqaluit,40,CA,1551934374,68,63.75,-68.52,-18.01,28.86
ardesen,75,TR,1551933000,87,41.19,40.99,44.6,12.75
port jervis,1,US,1551934441,65,41.38,-74.69,18,4.61
tuktoyaktuk,75,CA,1551931200,77,69.44,-133.03,1.4,8.05
palora,56,EC,1551934456,97,-1.7,-77.97,61.75,2.37
dingle,0,PH,1551934296,40,11,122.67,90.46,12.55
santiago,0,CL,1551934292,34,-33.44,-70.65,70,9.17
coihaique,0,CL,1551931200,87,-45.58,-72.07,46.4,3.36
galveston,1,US,1551934429,79,40.58,-86.19,26.01,12.75
tiksi,92,RU,1551934457,79,71.64,128.87,13.33,3.6
nanortalik,80,GL,1551934264,90,60.14,-45.24,31.19,13.44
longyearbyen,20,NO,1551930600,59,78.22,15.63,3.2,6.93
dinguiraye,0,GN,1551934457,53,11.29,-10.71,62.2,3.83
lokachi,48,UA,1551931837,96,50.74,24.65,30.99,16.8
kudahuvadhoo,32,MV,1551934458,100,2.67,72.89,82.63,6.73
mataura,100,NZ,1551934206,93,-46.19,168.86,53.01,3
nome,90,US,1551934220,61,30.04,-94.42,53.01,4.7
santa rosa de cabal,40,CO,1551931200,94,4.86,-75.62,71.6,6.93
berlevag,20,NO,1551930600,57,70.86,29.09,21.2,8.05
ponta do sol,32,BR,1551934281,95,-20.63,-46,63.46,2.82
chunskiy,36,RU,1551934459,67,56.08,99.63,28.9,6.62
inhambane,40,MZ,1551931200,83,-23.87,35.38,77,13.22
port blair,20,IN,1551931200,66,11.67,92.75,86,4.7
ribeira grande,92,PT,1551934274,95,38.52,-28.7,61.93,17.58
winnemucca,90,US,1551933969,70,40.97,-117.74,46.4,12.75
avarua,92,CK,1551933000,78,-21.21,-159.78,80.6,17.22
hasaki,75,JP,1551934175,87,35.73,140.83,50,17.22
carutapera,88,BR,1551934196,100,-1.2,-46.02,72.64,7.18
tautira,75,PF,1551934394,74,-17.73,-149.15,82.4,3.36
arraial do cabo,48,BR,1551934460,89,-22.97,-42.02,80.24,11.77
emba,40,CY,1551933000,77,34.81,32.42,59,12.75
madras,90,US,1551934249,92,44.63,-121.13,30.99,5.82
flinders,0,AU,1551934446,32,-34.58,150.85,72,9.17
labuan,75,BN,1551933000,74,5.28,115.24,87.8,3.36
